word,DF,IDF,Mean_TF,Mean_TF-IDF
thewalkingdead,8,6.764871590736091,0.009195402298850575,0.00299507912211149
social,10,6.442943495848729,0.011494252873563218,0.002993393051856805
him,10,6.442943495848729,0.01264367816091954,0.0029879779697298834
she,11,6.305439972098794,0.013793103448275862,0.0029671566351982697
say,11,6.305439972098794,0.014942528735632184,0.002937917626104409
gun,12,6.1799090900149345,0.013793103448275862,0.0029319508601331353
being,13,6.064431872594998,0.014942528735632184,0.0029119916132231936
david,10,6.442943495848729,0.011494252873563218,0.0028830353514637135
work,10,6.442943495848729,0.011494252873563218,0.0028802405662339088
please,10,6.442943495848729,0.01264367816091954,0.0028636094366850363
mannequinchallenge,8,6.764871590736091,0.009195402298850575,0.0028498668694159008
first,10,6.442943495848729,0.011494252873563218,0.0028364980685688145
animal,9,6.594946589293779,0.011494252873563218,0.0028352749685714856
way,10,6.442943495848729,0.011494252873563218,0.002815115524464029
leonard,9,6.594946589293779,0.010344827586206896,0.0028139567806669103
cohen,9,6.594946589293779,0.010344827586206896,0.0028139567806669103
does,10,6.442943495848729,0.011494252873563218,0.002797523140566683
control,11,6.305439972098794,0.01264367816091954,0.002796063606640095
cant,9,6.594946589293779,0.010344827586206896,0.0027957840991276626
world,10,6.442943495848729,0.011494252873563218,0.0027883234249154077
doesnt,11,6.305439972098794,0.01264367816091954,0.002782842590113706
euthanasia,8,6.764871590736091,0.009195402298850575,0.00278174301034401
pipeline,10,6.442943495848729,0.011494252873563218,0.0027688791989180206
video,9,6.594946589293779,0.010344827586206896,0.0027586190789789145
even,10,6.442943495848729,0.011494252873563218,0.002754986069528788
vr,8,6.764871590736091,0.010344827586206896,0.0027508848570454007
rightists,9,6.594946589293779,0.011494252873563218,0.0027481532353050065
yes,10,6.442943495848729,0.011494252873563218,0.0027478090104993656
next,10,6.442943495848729,0.011494252873563218,0.002742561281270614
want,10,6.442943495848729,0.011494252873563218,0.0027105207842095997
popular,8,6.764871590736091,0.011494252873563218,0.0026998228399664668
embargo,9,6.594946589293779,0.010344827586206896,0.0026974119935435745
after,11,6.305439972098794,0.01264367816091954,0.0026922975026245793
tony,9,6.594946589293779,0.010344827586206896,0.002688468357991266
today,10,6.442943495848729,0.011494252873563218,0.0026848046389371084
thanks,8,6.764871590736091,0.009195402298850575,0.0026775849540141023
make,11,6.305439972098794,0.01264367816091954,0.002670800752821467
miss,7,6.957516668678487,0.008045977011494253,0.002662712672157377
left,10,6.442943495848729,0.011494252873563218,0.0026626476001343326
there,8,6.764871590736091,0.009195402298850575,0.002661793724575504
melania,7,6.957516668678487,0.008045977011494253,0.0026605489750554235
youre,10,6.442943495848729,0.011494252873563218,0.0026593420104420954
doing,9,6.594946589293779,0.010344827586206896,0.002655643901776564
putin,8,6.764871590736091,0.010344827586206896,0.0026551949077392467
fuels,11,6.305439972098794,0.01264367816091954,0.0026513747846882074
already,8,6.764871590736091,0.010344827586206896,0.0026424213923180967
got,8,6.764871590736091,0.010344827586206896,0.002640377991204167
same,11,6.305439972098794,0.01264367816091954,0.0026223747069935364
am,9,6.594946589293779,0.010344827586206896,0.0026171528938527355
cy,9,6.594946589293779,0.010344827586206896,0.0026153993960886662
could,9,6.594946589293779,0.010344827586206896,0.0026035716299358277
access,9,6.594946589293779,0.010344827586206896,0.0025886465603149646
photo,7,6.957516668678487,0.009195402298850575,0.002586361647635274
because,9,6.594946589293779,0.011494252873563218,0.0025805521548558706
